Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553185811260,-7049.38232421875,-10002.2265625,0,0,0,0,-3549.881591796875,25117.01171875,Rest
1553185811260,-7040.6650390625,-9996.0126953125,0,0,0,0,-3548.65234375,25111.826171875,Rest
1553185811261,-6999.0908203125,-9940.8037109375,0,0,0,0,-3550.775634765625,25113.703125,Rest
1553185811261,-7016.1455078125,-9953.8798828125,0,0,0,0,-3554.575439453125,25113.591796875,Rest
1553185811262,-7043.97314453125,-9992.4814453125,0,0,0,0,-3555.24609375,25112.02734375,Rest
1553185811262,-7039.5029296875,-9991.51953125,0,0,0,0,-3538.996337890625,25113.81640625,Rest
1553185811262,-7002.6669921875,-9940.3349609375,0,0,0,0,-3548.0263671875,25114.576171875,Rest
1553185811263,-7005.505859375,-9941.0048828125,0,0,0,0,-3553.6142578125,25109.501953125,Rest
1553185811263,-7029.22119140625,-9973.6162109375,0,0,0,0,-3548.875732421875,25111.490234375,Rest
1553185811263,-7047.57177734375,-10000.8408203125,0,0,0,0,-3549.92626953125,25113.189453125,Rest
1553185811325,-7011.49609375,-9957.6796875,0,0,0,0,-3550.194580078125,25114.93359375,Rest
1553185811326,-7030.36083984375,-9990.71484375,0,0,0,0,-3539.75634765625,25115.537109375,Rest
1553185811327,-7029.265625,-9982.556640625,0,0,0,0,-3539.0185546875,25113.681640625,Rest
1553185811327,-7005.17041015625,-9943.3740234375,0,0,0,0,-3549.52392578125,25112.20703125,Rest
1553185811327,-7014.58056640625,-9958.283203125,0,0,0,0,-3548.853515625,25115.55859375,Rest
1553185811327,-7037.58056640625,-9994.9619140625,0,0,0,0,-3543.623046875,25120.341796875,Rest
1553185811327,-7039.8828125,-9995.9013671875,0,0,0,0,-3538.660888671875,25121.638671875,Rest
1553185811327,-7007.76318359375,-9948.134765625,0,0,0,0,-3545.656982421875,25118.732421875,Rest
1553185811327,-7009.8642578125,-9949.4541015625,0,0,0,0,-3542.304443359375,25118.755859375,Rest
1553185811328,-7034.9208984375,-9983.8759765625,0,0,0,0,-3536.179931640625,25116.67578125,Rest
1553185811361,-7040.5087890625,-9995.341796875,0,0,0,0,-3538.75048828125,25115.849609375,Rest
1553185811361,-7040.5087890625,-9995.341796875,0,0,0,0,-3538.75048828125,25115.849609375,Rest
1553185811362,-7006.35498046875,-9944.9384765625,0,0,0,0,-3543.6455078125,25114.150390625,Rest
1553185811362,-7014.111328125,-9948.2470703125,0,0,0,0,-3551.267333984375,25109.859375,Rest
1553185811363,-7034.09375,-9981.3056640625,0,0,0,0,-3550.775634765625,25107.958984375,Rest
1553185811363,-7006.35498046875,-9944.9384765625,0,0,0,0,-3543.6455078125,25114.150390625,Rest
1553185811363,-7045.38134765625,-10001.33203125,0,0,0,0,-3543.757080078125,25112.67578125,Rest
1553185811363,-7014.111328125,-9948.2470703125,0,0,0,0,-3551.267333984375,25109.859375,Rest
1553185811363,-7034.09375,-9981.3056640625,0,0,0,0,-3550.775634765625,25107.958984375,Rest
1553185811364,-7017.82177734375,-9957.142578125,0,0,0,0,-3545.679443359375,25106.037109375,Rest
1553185811364,-7007.271484375,-9943.330078125,0,0,0,0,-3550.10498046875,25107.6015625,Rest
1553185811365,-7045.38134765625,-10001.33203125,0,0,0,0,-3543.757080078125,25112.67578125,Rest
1553185811365,-7028.3271484375,-9974.041015625,0,0,0,0,-3547.0205078125,25113.748046875,Rest
1553185811366,-7017.82177734375,-9957.142578125,0,0,0,0,-3545.679443359375,25106.037109375,Rest
1553185811366,-7042.296875,-10001.1083984375,0,0,0,0,-3540.203369140625,25116.833984375,Rest
1553185811366,-7024.3037109375,-9971.8056640625,0,0,0,0,-3549.501708984375,25108.673828125,Rest
1553185811366,-7007.271484375,-9943.330078125,0,0,0,0,-3550.10498046875,25107.6015625,Rest
1553185811366,-7028.3271484375,-9974.041015625,0,0,0,0,-3547.0205078125,25113.748046875,Rest
1553185811367,-7042.296875,-10001.1083984375,0,0,0,0,-3540.203369140625,25116.833984375,Rest
