START TIME,DIRECTION,DURATION
1552854553295,Rest,5
1552854559302,Left,5
1552854564305,Right,5
1552854569306,Rest,5
1552854574307,Left,5
1552854579309,Right,5
1552854584312,Rest,5
1552854589315,Left,5
1552854594320,Right,5
1552854599321,Rest,5
1552854604326,Left,5
1552854609330,Right,5
1552854614333,Rest,5
1552854619337,Left,5
1552854624339,Right,5
1552854629345,Rest,5
1552854634349,Left,5
1552854639354,Right,5
1552854644358,Rest,5
1552854649361,Left,5
1552854654365,Right,5
1552854659369,Rest,5
1552854664373,Left,5
1552854669376,Right,5
