START TIME,DIRECTION,DURATION
1552855080802,Rest,10
1552855091810,Left,10
1552855101818,Right,10
1552855111825,Rest,10
1552855121830,Left,10
1552855131840,Right,10
1552855141848,Rest,10
1552855151856,Left,10
1552855161864,Right,10
1552855171869,Rest,10
1552855181877,Left,10
1552855191883,Right,10
1552855201889,Rest,10
1552855211897,Left,10
1552855221908,Right,10
1552855231919,Rest,10
1552855241923,Left,10
1552855251929,Right,10
1552855261953,Rest,10
1552855271959,Left,10
1552855281967,Right,10
1552855291977,Rest,10
1552855301985,Left,10
1552855311991,Right,10
1552855322001,Rest,10
1552855332006,Left,10
1552855342013,Right,10
1552855352019,Rest,10
1552855362025,Left,10
1552855372032,Right,10
