Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553461028432,-45574.06640625,-25949.078125,0,0,0,-26114.50390625,22120.068359375,-8651.7568359375,Rest
1553461028434,-45572.27734375,-25950.798828125,0,0,0,-26120.13671875,22122.83984375,-8647.9345703125,Rest
1553461028435,-45571.4296875,-25949.45703125,0,0,0,-26121.947265625,22127.869140625,-8643.6875,Rest
1553461028435,-45575.65234375,-25952.251953125,0,0,0,-26106.6796875,22121.275390625,-8650.482421875,Rest
1553461028435,-45582.2890625,-25957.392578125,0,0,0,-26104.400390625,22115.150390625,-8657.634765625,Rest
1553461028436,-45579.47265625,-25956.833984375,0,0,0,-26105.919921875,22120.537109375,-8651.7568359375,Rest
1553461028436,-45574.22265625,-25955.044921875,0,0,0,-26116.58203125,22125.0078125,-8650.4150390625,Rest
1553461028436,-45576.01171875,-25955.203125,0,0,0,-26121.857421875,22119.6875,-8653.34375,Rest
1553461028436,-45575.453125,-25952.654296875,0,0,0,-26125.724609375,22118.34765625,-8655.35546875,Rest
1553461028436,-45568.96875,-25946.6640625,0,0,0,-26127.466796875,22125.611328125,-8650.7060546875,Rest
1553461028465,-45568.0546875,-25946.708984375,0,0,0,-26137.66015625,22129.58984375,-8648.1357421875,Rest
1553461028466,-45568.38671875,-25945.658203125,0,0,0,-26150.779296875,22127.599609375,-8651.0634765625,Rest
1553461028467,-45569.19140625,-25945.63671875,0,0,0,-26148.43359375,22122.482421875,-8659.087890625,Rest
1553461028467,-45565.37109375,-25942.57421875,0,0,0,-26133.234375,22126.751953125,-8656.361328125,Rest
1553461028468,-45561.59375,-25939.712890625,0,0,0,-26107.216796875,22135.35546875,-8646.9287109375,Rest
1553461028468,-45556.921875,-25932.515625,0,0,0,-26112.357421875,22140.9453125,-8640.8935546875,Rest
1553461028469,-45554.10546875,-25928.513671875,0,0,0,-26111.240234375,22138.865234375,-8642.4580078125,Rest
1553461028471,-45553.94921875,-25929.654296875,0,0,0,-26155.294921875,22139.71484375,-8642.078125,Rest
1553461028471,-45550.55078125,-25928.447265625,0,0,0,-26198.166015625,22144.521484375,-8638.7705078125,Rest
1553461028471,-45551.33203125,-25928.24609375,0,0,0,-26149.349609375,22142.263671875,-8642.5029296875,Rest
1553461028498,-45555.3359375,-25930.458984375,0,0,0,-26080.841796875,22135.84765625,-8647.666015625,Rest
1553461028499,-45562.53125,-25937.119140625,0,0,0,-26065.1953125,22131.9140625,-8648.0234375,Rest
1553461028499,-45557.90625,-25933.87890625,0,0,0,-26100.845703125,22137.45703125,-8641.51953125,Rest
1553461028500,-45557.0546875,-25935.46484375,0,0,0,-26110.703125,22134.6640625,-8644.1796875,Rest
1553461028500,-45561.03515625,-25938.818359375,0,0,0,-26098.208984375,22125.052734375,-8653.298828125,Rest
1553461028500,-45560.23046875,-25937.677734375,0,0,0,-26083.166015625,22122.482421875,-8659.04296875,Rest
1553461028501,-45555.9609375,-25935.01953125,0,0,0,-26056.076171875,22127.890625,-8655.5341796875,Rest
1553461028501,-45556.6328125,-25933.54296875,0,0,0,-26039.625,22135.490234375,-8647.263671875,Rest
1553461028501,-45557.703125,-25930.615234375,0,0,0,-26027.98046875,22135.111328125,-8648.8505859375,Rest
1553461028502,-45560.05078125,-25931.107421875,0,0,0,-26033.5,22136.072265625,-8648.0458984375,Rest
1553461028537,-45557.14453125,-25928.73828125,0,0,0,-26032.607421875,22144.23046875,-8639.865234375,Rest
1553461028537,-45551.578125,-25924.24609375,0,0,0,-26026.75,22150.3984375,-8635.0595703125,Rest
1553461028538,-45554.62109375,-25926.390625,0,0,0,-26051.224609375,22141.1015625,-8644.6259765625,Rest
1553461028538,-45561.50390625,-25932.158203125,0,0,0,-26070.515625,22134.88671875,-8650.83984375,Rest
1553461028539,-45561.48046875,-25933.69921875,0,0,0,-26092.263671875,22137.927734375,-8646.0341796875,Rest
1553461028539,-45562.64453125,-25936.158203125,0,0,0,-26104.646484375,22138.552734375,-8644.693359375,Rest
1553461028539,-45565.640625,-25938.125,0,0,0,-26096.912109375,22131.064453125,-8651.2646484375,Rest
1553461028540,-45565.4140625,-25936.2265625,0,0,0,-26103.55078125,22128.359375,-8655.66796875,Rest
