Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553461706935,-46385.03125,-28360.31640625,0,0,0,-30411.8046875,19550.33203125,-10798.8203125,Rest
1553461706935,-46380.0234375,-28356.3828125,0,0,0,-30421.37109375,19558.06640625,-10792.13671875,Rest
1553461706936,-46375.375,-28355.689453125,0,0,0,-30443.142578125,19562.939453125,-10789.2763671875,Rest
1553461706937,-46376.6484375,-28358.505859375,0,0,0,-30437.0390625,19554.154296875,-10796.9873046875,Rest
1553461706937,-46377.87890625,-28359.53515625,0,0,0,-30400.62890625,19545.326171875,-10805.9501953125,Rest
1553461706937,-46376.94140625,-28361.658203125,0,0,0,-30414.599609375,19541.81640625,-10809.59375,Rest
1553461706938,-46375.30859375,-28363.916015625,0,0,0,-30437.822265625,19541.81640625,-10808.833984375,Rest
1553461706939,-46378.55078125,-28366.576171875,0,0,0,-30432.16796875,19537.14453125,-10813.05859375,Rest
1553461706939,-46379.109375,-28364.451171875,0,0,0,-30414.083984375,19536.384765625,-10814.4443359375,Rest
1553461706939,-46383.35546875,-28367.40234375,0,0,0,-30434,19535.736328125,-10815.8974609375,Rest
1553461706972,-46387.06640625,-28370.888671875,0,0,0,-30437.0390625,19540.318359375,-10808.341796875,Rest
1553461706973,-46390.44140625,-28372.767578125,0,0,0,-30424.61328125,19541.525390625,-10805.32421875,Rest
1553461706973,-46392.36328125,-28371.001953125,0,0,0,-30398.39453125,19538.552734375,-10808.6103515625,Rest
1553461706974,-46395.9375,-28373.884765625,0,0,0,-30400.650390625,19538.150390625,-10809.0576171875,Rest
1553461706975,-46398.77734375,-28377.751953125,0,0,0,-30432.435546875,19539.537109375,-10807.1572265625,Rest
1553461706975,-46394.5546875,-28372.54296875,0,0,0,-30436.123046875,19546.107421875,-10799.9150390625,Rest
1553461706976,-46392.609375,-28368.900390625,0,0,0,-30416.029296875,19545.6171875,-10800.5185546875,Rest
1553461706976,-46396.3203125,-28373.21484375,0,0,0,-30421.70703125,19543.359375,-10803.9384765625,Rest
1553461706976,-46397.75,-28376.41015625,0,0,0,-30467.349609375,19546.734375,-10800.6083984375,Rest
1553461706977,-46394.2421875,-28371.671875,0,0,0,-30477.876953125,19556.033203125,-10791.064453125,Rest
1553461707043,-46391.78125,-28366.396484375,0,0,0,-30466.029296875,19558.021484375,-10787.95703125,Rest
1553461707043,-46392.85546875,-28367.3359375,0,0,0,-30427.875,19556.076171875,-10792.78515625,Rest
1553461707044,-46393.546875,-28370.888671875,0,0,0,-30447.208984375,19552.92578125,-10795.4677734375,Rest
1553461707045,-46386.6640625,-28366.576171875,0,0,0,-30463.326171875,19556.970703125,-10790.7734375,Rest
1553461707045,-46384.71875,-28364.18359375,0,0,0,-30436.75,19551.091796875,-10796.0263671875,Rest
1553461707046,-46383.9140625,-28361.76953125,0,0,0,-30444.55078125,19549.482421875,-10798.5966796875,Rest
1553461707046,-46378.16796875,-28357.478515625,0,0,0,-30484.693359375,19555.384765625,-10792.9189453125,Rest
1553461707047,-46378.6171875,-28361.3671875,0,0,0,-30458.408203125,19554.333984375,-10794.640625,Rest
1553461707048,-46382.19140625,-28364.720703125,0,0,0,-30380.78125,19549.169921875,-10798.216796875,Rest
1553461707049,-46382.37109375,-28361.658203125,0,0,0,-30346.3359375,19551.494140625,-10796.40625,Rest
1553461707080,-46377.1875,-28356.046875,0,0,0,-30391.8671875,19558.40234375,-10791.8916015625,Rest
1553461707081,-46377.96875,-28357.412109375,0,0,0,-30419.94140625,19559.7421875,-10791.82421875,Rest
1553461707081,-46382.55078125,-28361.189453125,0,0,0,-30399.421875,19555.16015625,-10794.998046875,Rest
1553461707082,-46385.4765625,-28361.6796875,0,0,0,-30355.03125,19551.31640625,-10800.8544921875,Rest
1553461707082,-46388.0703125,-28364.33984375,0,0,0,-30351.857421875,19550.98046875,-10801.79296875,Rest
1553461707082,-46389.5234375,-28366.798828125,0,0,0,-30368.28515625,19553.86328125,-10796.115234375,Rest
1553461707083,-46388.046875,-28366.462890625,0,0,0,-30367.75,19552.412109375,-10796.2275390625,Rest
1553461707083,-46389.03125,-28365.212890625,0,0,0,-30344.525390625,19549.796875,-10798.708984375,Rest
1553461707084,-46388.96484375,-28366.576171875,0,0,0,-30347.453125,19550.6015625,-10797.0322265625,Rest
1553461707084,-46388.02734375,-28368.587890625,0,0,0,-30383.037109375,19552.61328125,-10794.349609375,Rest
1553461707119,-46385.03125,-28366.150390625,0,0,0,-30417.818359375,19557.23828125,-10791.3994140625,Rest
1553461707121,-46383.6015625,-28363,0,0,0,-30410.708984375,19554.958984375,-10794.7744140625,Rest
1553461707122,-46380.11328125,-28358.57421875,0,0,0,-30404.384765625,19560.658203125,-10789.052734375,Rest
1553461707123,-46379.19921875,-28360.31640625,0,0,0,-30425.6171875,19562.46875,-10785.185546875,Rest
1553461707123,-46380.00390625,-28363.40234375,0,0,0,-30441.263671875,19562.3359375,-10785.07421875,Rest
1553461707125,-46381.1875,-28364.51953125,0,0,0,-30433.060546875,19555.16015625,-10792.181640625,Rest
1553461707125,-46383.1328125,-28365.4140625,0,0,0,-30431.83203125,19551.16015625,-10798.5078125,Rest
1553461707126,-46381.6796875,-28366.150390625,0,0,0,-30449.04296875,19550.310546875,-10798.4853515625,Rest
1553461707126,-46378.953125,-28363.9609375,0,0,0,-30457.3125,19551.47265625,-10798.015625,Rest
1553461707127,-46376.203125,-28358.484375,0,0,0,-30426.646484375,19550.556640625,-10800.8994140625,Rest
1553461707152,-46378.640625,-28360.16015625,0,0,0,-30411.267578125,19545.83984375,-10809.0576171875,Rest
1553461707155,-46380.08984375,-28363,0,0,0,-30428.30078125,19547.806640625,-10805.369140625,Rest
1553461707155,-46381.69921875,-28365.501953125,0,0,0,-30438.158203125,19549.37109375,-10802.3076171875,Rest
1553461707155,-46383.30859375,-28365.681640625,0,0,0,-30444.86328125,19546.3984375,-10802.9775390625,Rest
1553461707156,-46389.01171875,-28369.369140625,0,0,0,-30423.94140625,19536.921875,-10813.5947265625,Rest
1553461707156,-46389.90234375,-28370.486328125,0,0,0,-30415.224609375,19538.017578125,-10813.6845703125,Rest
1553461707156,-46389.4140625,-28370.822265625,0,0,0,-30441.890625,19543.783203125,-10806.666015625,Rest
1553461707156,-46385.1640625,-28364.853515625,0,0,0,-30438.404296875,19549.572265625,-10799.22265625,Rest
1553461707157,-46384.4296875,-28361.546875,0,0,0,-30412.20703125,19548.232421875,-10800.4521484375,Rest
1553461707157,-46384.62890625,-28363.1328125,0,0,0,-30409.904296875,19547.470703125,-10802.0615234375,Rest
1553461707187,-46382.59375,-28363.46875,0,0,0,-30435.9453125,19552.052734375,-10796.763671875,Rest
1553461707188,-46381.296875,-28362.642578125,0,0,0,-30442.828125,19554.154296875,-10794.751953125,Rest
1553461707188,-46380.2265625,-28358.484375,0,0,0,-30423.3828125,19554.265625,-10795.6689453125,Rest
1553461707188,-46381.41015625,-28359.1328125,0,0,0,-30424.009765625,19554.154296875,-10795.802734375,Rest
1553461707189,-46380.73828125,-28360.65234375,0,0,0,-30435.85546875,19556.345703125,-10792.6064453125,Rest
1553461707189,-46378.50390625,-28359.265625,0,0,0,-30443.3203125,19558.826171875,-10790.169921875,Rest
1553461707189,-46381.58984375,-28361.076171875,0,0,0,-30430.736328125,19550.220703125,-10800.630859375,Rest
1553461707189,-46380.29296875,-28359.826171875,0,0,0,-30410.419921875,19550.845703125,-10798.8203125,Rest
1553461707189,-46378.7734375,-28360.630859375,0,0,0,-30430.580078125,19552.8359375,-10795.69140625,Rest
1553461707190,-46379.7109375,-28363.04296875,0,0,0,-30458.474609375,19551.830078125,-10796.361328125,Rest
1553461707224,-46385.2109375,-28366.91015625,0,0,0,-30420.65625,19544.72265625,-10802.84375,Rest
1553461707225,-46389.5703125,-28367.87109375,0,0,0,-30403.37890625,19544.41015625,-10802.708984375,Rest
1553461707226,-46393.45703125,-28373.1015625,0,0,0,-30415.984375,19541.19140625,-10804.0732421875,Rest
1553461707226,-46393.75,-28374.3984375,0,0,0,-30433.6640625,19542.599609375,-10803.9609375,Rest
1553461707226,-46396.7890625,-28377.3046875,0,0,0,-30434.044921875,19535.603515625,-10813.0810546875,Rest
