Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553808466070,-43857.65234375,-57333.71875,0,0,0,0,-44329.8984375,-29127.49609375,Rest
1553808466071,-43856.6484375,-57353.7265625,0,0,0,0,-44331.91015625,-29129.91015625,Rest
1553808466072,-43851.8203125,-57345.12109375,0,0,0,0,-44327.59765625,-29126.35546875,Rest
1553808466072,-43847.1015625,-57319.05859375,0,0,0,0,-44319.73046875,-29117.75,Rest
1553808466073,-43847.83984375,-57317.40234375,0,0,0,0,-44317.11328125,-29115.4921875,Rest
1553808466074,-43850.8359375,-57340.89453125,0,0,0,0,-44323.91015625,-29120.947265625,Rest
1553808466075,-43847.83984375,-57346.34765625,0,0,0,0,-44323.484375,-29120.275390625,Rest
1553808466076,-43849.44921875,-57329.96484375,0,0,0,0,-44321.65234375,-29119.5390625,Rest
1553808466076,-43849.3359375,-57317.06640625,0,0,0,0,-44318.390625,-29117.21484375,Rest
1553808466077,-43844.0625,-57333.85546875,0,0,0,0,-44316.9140625,-29114.330078125,Rest
1553808466101,-43844.64453125,-57340.625,0,0,0,0,-44318.27734375,-29117.482421875,Rest
1553808466103,-43843.81640625,-57316.48828125,0,0,0,0,-44314.9921875,-29114.912109375,Rest
1553808466103,-43841.76171875,-57308.328125,0,0,0,0,-44307.99609375,-29108.83203125,Rest
1553808466103,-43842.96875,-57325.78515625,0,0,0,0,-44308.2421875,-29109.212890625,Rest
1553808466103,-43843.03515625,-57335.0625,0,0,0,0,-44312.30859375,-29111.3125,Rest
1553808466104,-43843.6171875,-57322.65625,0,0,0,0,-44317.3828125,-29116.23046875,Rest
1553808466104,-43836.640625,-57306.2734375,0,0,0,0,-44310.38671875,-29109.994140625,Rest
1553808466105,-43834.1171875,-57316.0625,0,0,0,0,-44308.28515625,-29108.49609375,Rest
1553808466105,-43839.3671875,-57331.57421875,0,0,0,0,-44315.4375,-29114.7109375,Rest
1553808466105,-43841.73828125,-57327.52734375,0,0,0,0,-44318.703125,-29116.41015625,Rest
1553808466134,-43839.83984375,-57309.84765625,0,0,0,0,-44314.1640625,-29112.408203125,Rest
1553808466135,-43840.64453125,-57319.37109375,0,0,0,0,-44315.6171875,-29112.966796875,Rest
1553808466135,-43837.9375,-57337.09375,0,0,0,0,-44318.12109375,-29114.912109375,Rest
1553808466136,-43837.984375,-57329.78515625,0,0,0,0,-44319.52734375,-29116.833984375,Rest
1553808466136,-43840.91015625,-57312.640625,0,0,0,0,-44317.3828125,-29117.28125,Rest
1553808466136,-43840.95703125,-57315.1015625,0,0,0,0,-44314.72265625,-29115.08984375,Rest
1553808466137,-43845.31640625,-57340.3359375,0,0,0,0,-44319.484375,-29118.466796875,Rest
1553808466137,-43847.08203125,-57340.13671875,0,0,0,0,-44320.890625,-29119.94140625,Rest
1553808466138,-43844.82421875,-57321.78515625,0,0,0,0,-44319.08203125,-29119.3828125,Rest
1553808466139,-43841.671875,-57322.8125,0,0,0,0,-44317.203125,-29117.884765625,Rest
1553808466168,-43842.5,-57332.6015625,0,0,0,0,-44320.66796875,-29120.142578125,Rest
1553808466169,-43841.73828125,-57336.984375,0,0,0,0,-44322.09765625,-29120.90234375,Rest
1553808466169,-43840.64453125,-57323.1484375,0,0,0,0,-44316.66796875,-29116.9453125,Rest
1553808466170,-43841.24609375,-57315.390625,0,0,0,0,-44309.11328125,-29109.14453125,Rest
1553808466170,-43837.4921875,-57327.52734375,0,0,0,0,-44306.6328125,-29103.958984375,Rest
1553808466171,-43838.87890625,-57336.515625,0,0,0,0,-44312.4453125,-29107.8046875,Rest
1553808466171,-43839.859375,-57318.07421875,0,0,0,0,-44310.296875,-29106.0390625,Rest
1553808466172,-43834.98828125,-57310.71875,0,0,0,0,-44306.09375,-29102.171875,Rest
1553808466172,-43833.53515625,-57323.484375,0,0,0,0,-44308.10546875,-29105.568359375,Rest
1553808466173,-43836.44140625,-57334.50390625,0,0,0,0,-44313.203125,-29109.703125,Rest
1553808466204,-43836.44140625,-57321.8515625,0,0,0,0,-44311.125,-29108.294921875,Rest
1553808466205,-43835.76953125,-57312.21875,0,0,0,0,-44306.8984375,-29105.6796875,Rest
1553808466206,-43835.76953125,-57320.890625,0,0,0,0,-44306.6328125,-29104.919921875,Rest
1553808466207,-43837.2890625,-57338.8828125,0,0,0,0,-44311.32421875,-29108.2734375,Rest
1553808466207,-43839.546875,-57330.234375,0,0,0,0,-44314.9453125,-29111.380859375,Rest
1553808466207,-43838.07421875,-57310.54296875,0,0,0,0,-44314.0078125,-29110.822265625,Rest
1553808466208,-43834.69921875,-57318.07421875,0,0,0,0,-44315.90625,-29111.6484375,Rest
1553808466208,-43835.48046875,-57339.375,0,0,0,0,-44321.85546875,-29116.65625,Rest
1553808466209,-43841.203125,-57340.78125,0,0,0,0,-44328.359375,-29121.572265625,Rest
1553808466209,-43843.4609375,-57324.421875,0,0,0,0,-44324.35546875,-29118.0859375,Rest
1553808466242,-43847.23828125,-57324.19921875,0,0,0,0,-44322.74609375,-29117.52734375,Rest
1553808466242,-43848.109375,-57343.890625,0,0,0,0,-44324.7578125,-29118.197265625,Rest
1553808466243,-43849.76171875,-57343.44140625,0,0,0,0,-44326.078125,-29119.046875,Rest
1553808466243,-43848.48828125,-57328.78125,0,0,0,0,-44322.6796875,-29115.91796875,Rest
1553808466244,-43846.7890625,-57323.39453125,0,0,0,0,-44320.734375,-29113.1015625,Rest
1553808466244,-43847.66015625,-57339.44140625,0,0,0,0,-44323.93359375,-29114.375,Rest
1553808466244,-43850.23046875,-57345.96875,0,0,0,0,-44327.41796875,-29116.296875,Rest
1553808466245,-43851.57421875,-57333.09375,0,0,0,0,-44324.73828125,-29113.279296875,Rest
1553808466246,-43847.66015625,-57323.23828125,0,0,0,0,-44320.6015625,-29109.7265625,Rest
1553808466246,-43847.68359375,-57334.27734375,0,0,0,0,-44324.7578125,-29114.509765625,Rest
1553808466313,-43846.54296875,-57326.3203125,0,0,0,0,-44325.98828125,-29120.0078125,Rest
1553808466314,-43846.56640625,-57326.61328125,0,0,0,0,-44321.765625,-29116.744140625,Rest
1553808466315,-43844.48828125,-57344.78515625,0,0,0,0,-44318.03125,-29113.01171875,Rest
1553808466315,-43844.375,-57338.52734375,0,0,0,0,-44315.171875,-29110.822265625,Rest
1553808466315,-43839.50390625,-57311.234375,0,0,0,0,-44305.9375,-29101.634765625,Rest
1553808466316,-43834.00390625,-57307.03125,0,0,0,0,-44299.76953125,-29095.578125,Rest
1553808466317,-43829.66796875,-57322.43359375,0,0,0,0,-44298.96484375,-29094.86328125,Rest
1553808466317,-43827.87890625,-57321.26953125,0,0,0,0,-44301.73828125,-29097.65625,Rest
1553808466318,-43828.8203125,-57307.90234375,0,0,0,0,-44303.546875,-29100.451171875,Rest
1553808466319,-43832.73046875,-57306.78515625,0,0,0,0,-44307.16796875,-29103.35546875,Rest
1553808466350,-43834.921875,-57325.25,0,0,0,0,-44311.86328125,-29108.09375,Rest
1553808466351,-43837.71484375,-57331.23828125,0,0,0,0,-44316.3984375,-29112.833984375,Rest
1553808466351,-43836.171875,-57315.546875,0,0,0,0,-44312.375,-29108.921875,Rest
1553808466352,-43833.71484375,-57304.015625,0,0,0,0,-44308.93359375,-29106.1953125,Rest
1553808466352,-43834.3828125,-57325.49609375,0,0,0,0,-44313.31640625,-29109.099609375,Rest
1553808466353,-43839.68359375,-57339.46484375,0,0,0,0,-44319.6171875,-29113.34765625,Rest
1553808466353,-43840.0625,-57323.9296875,0,0,0,0,-44316.3984375,-29109.501953125,Rest
1553808466354,-43835.81640625,-57307.43359375,0,0,0,0,-44309.984375,-29103.244140625,Rest
1553808466355,-43832.8203125,-57313.9375,0,0,0,0,-44310.20703125,-29101.388671875,Rest
1553808466355,-43833.3125,-57326.2109375,0,0,0,0,-44314.1640625,-29104.02734375,Rest
1553808466384,-43832.9296875,-57313.37890625,0,0,0,0,-44314.58984375,-29107.021484375,Rest
1553808466385,-43830.98828125,-57309.3359375,0,0,0,0,-44310.609375,-29106.529296875,Rest
1553808466385,-43831.27734375,-57314.296875,0,0,0,0,-44311.4609375,-29108.02734375,Rest
1553808466385,-43833.51171875,-57324.66796875,0,0,0,0,-44317.83203125,-29113.5703125,Rest
1553808466386,-43835.94921875,-57322.4765625,0,0,0,0,-44318.6796875,-29113.525390625,Rest
1553808466387,-43837.1328125,-57312.9765625,0,0,0,0,-44315.03515625,-29110.0625,Rest
1553808466387,-43838.36328125,-57316.0859375,0,0,0,0,-44315.37109375,-29109.14453125,Rest
1553808466388,-43839.5234375,-57330.9921875,0,0,0,0,-44318.5,-29110.44140625,Rest
1553808466388,-43843.97265625,-57332.1796875,0,0,0,0,-44323.8671875,-29115.314453125,Rest
1553808466389,-43848.0859375,-57318.96875,0,0,0,0,-44326.234375,-29118.01953125,Rest
1553808466417,-43852.01953125,-57326.23046875,0,0,0,0,-44328.40234375,-29120.09765625,Rest
1553808466418,-43853.11328125,-57345.85546875,0,0,0,0,-44330.19140625,-29121.9296875,Rest
1553808466418,-43852.6015625,-57344.89453125,0,0,0,0,-44331.0859375,-29123.2265625,Rest
1553808466418,-43851.91015625,-57325.98828125,0,0,0,0,-44328.91796875,-29121.326171875,Rest
1553808466419,-43853.40625,-57327.39453125,0,0,0,0,-44329.296875,-29122.154296875,Rest
1553808466420,-43847.7265625,-57330.8125,0,0,0,0,-44325.8984375,-29118.623046875,Rest
1553808466420,-43842.67578125,-57328.98046875,0,0,0,0,-44324.04296875,-29117.974609375,Rest
1553808466420,-43841.29296875,-57310.83203125,0,0,0,0,-44321.31640625,-29116.857421875,Rest
1553808466421,-43843.1015625,-57305.265625,0,0,0,0,-44318.79296875,-29115.001953125,Rest
1553808466421,-43846.4765625,-57325.11328125,0,0,0,0,-44321.20703125,-29117.52734375,Rest
1553808466454,-43849.47265625,-57340.87109375,0,0,0,0,-44326.61328125,-29120.455078125,Rest
1553808466454,-43848.109375,-57329.67578125,0,0,0,0,-44323.8671875,-29117.7734375,Rest
1553808466454,-43846.51953125,-57316.95703125,0,0,0,0,-44317.98828125,-29113.83984375,Rest
1553808466455,-43841.671875,-57326.2109375,0,0,0,0,-44312.15234375,-29108.1171875,Rest
1553808466455,-43839.83984375,-57342.7265625,0,0,0,0,-44314.1875,-29108.564453125,Rest
1553808466455,-43844.265625,-57331.6875,0,0,0,0,-44317.00390625,-29111.55859375,Rest
1553808466455,-43845.828125,-57318.09765625,0,0,0,0,-44315.1484375,-29109.5703125,Rest
1553808466456,-43842.09765625,-57333.4296875,0,0,0,0,-44314.3671875,-29107.53515625,Rest
1553808466456,-43843.83984375,-57346.4609375,0,0,0,0,-44318.1875,-29109.458984375,Rest
