Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553895974649,-19288.03515625,-6298.8779296875,0,0,0,0,-7368.2744140625,-1645.46826171875,Rest
1553895974649,-19197.509765625,-6227.8662109375,0,0,0,0,-7272.83251953125,-1584.0457763671875,Rest
1553895974649,-19185.59765625,-6235.15283203125,0,0,0,0,-7215.90283203125,-1548.7969970703125,Rest
1553895974649,-19250.841796875,-6287.14306640625,0,0,0,0,-7292.390625,-1603.4693603515625,Rest
1553895974650,-19295.5234375,-6308.73486328125,0,0,0,0,-7376.2763671875,-1657.4488525390625,Rest
1553895974650,-19209.669921875,-6234.99658203125,0,0,0,0,-7292.546875,-1595.6015625,Rest
1553895974650,-19175.896484375,-6224.37939453125,0,0,0,0,-7204.32470703125,-1535.94482421875,Rest
1553895974650,-19240.1796875,-6277.509765625,0,0,0,0,-7262.349609375,-1571.30517578125,Rest
1553895974650,-19285.666015625,-6302.0068359375,0,0,0,0,-7350.9521484375,-1627.29638671875,Rest
1553895974650,-19232.916015625,-6252.5205078125,0,0,0,0,-7317.55859375,-1606.553955078125,Rest
1553895974686,-19181.751953125,-6228.78271484375,0,0,0,0,-7220.48486328125,-1548.2158203125,Rest
1553895974686,-19239.173828125,-6282.53857421875,0,0,0,0,-7264.45068359375,-1575.9991455078125,Rest
1553895974686,-19299.45703125,-6317.2509765625,0,0,0,0,-7358.88671875,-1639.2098388671875,Rest
1553895974686,-19257.61328125,-6267.13818359375,0,0,0,0,-7342.07861328125,-1629.978515625,Rest
1553895974687,-19175.44921875,-6214.16455078125,0,0,0,0,-7224.0166015625,-1557.178955078125,Rest
1553895974687,-19213.73828125,-6257.34814453125,0,0,0,0,-7242.0322265625,-1569.472412109375,Rest
1553895974687,-19270.443359375,-6293.55810546875,0,0,0,0,-7330.1201171875,-1623.7200927734375,Rest
1553895974687,-19256.80859375,-6268.34521484375,0,0,0,0,-7350.572265625,-1636.572265625,Rest
1553895974687,-19165.994140625,-6204.93359375,0,0,0,0,-7233.806640625,-1567.1031494140625,Rest
1553895974687,-19199.09765625,-6246.39599609375,0,0,0,0,-7232.599609375,-1568.6007080078125,Rest
1553895974724,-19255.490234375,-6281.0634765625,0,0,0,0,-7308.7744140625,-1610.80078125,Rest
1553895974724,-19258.240234375,-6263.517578125,0,0,0,0,-7346.8837890625,-1629.978515625,Rest
1553895974725,-19176.677734375,-6205.2685546875,0,0,0,0,-7248.9833984375,-1573.0263671875,Rest
1553895974725,-19184.2109375,-6229.63232421875,0,0,0,0,-7221.11083984375,-1561.51513671875,Rest
1553895974725,-19239.6875,-6269.79833984375,0,0,0,0,-7296.25732421875,-1609.10205078125,Rest
1553895974725,-19267.94140625,-6275.8330078125,0,0,0,0,-7360.49609375,-1648.5081787109375,Rest
1553895974725,-19193.7109375,-6217.4501953125,0,0,0,0,-7279.7841796875,-1600.6083984375,Rest
1553895974726,-19174.623046875,-6220.9375,0,0,0,0,-7216.0146484375,-1561.0010986328125,Rest
1553895974726,-19242.99609375,-6275.8330078125,0,0,0,0,-7288.5908203125,-1606.2857666015625,Rest
1553895974726,-19273.818359375,-6284.99755859375,0,0,0,0,-7359.84814453125,-1642.87548828125,Rest
1553895974761,-19203.2109375,-6221.541015625,0,0,0,0,-7294.9384765625,-1601.4801025390625,Rest
1553895974761,-19171.24609375,-6213.58349609375,0,0,0,0,-7215.1650390625,-1554.876708984375,Rest
1553895974761,-19229.115234375,-6262.9140625,0,0,0,0,-7271.26806640625,-1591.9805908203125,Rest
1553895974762,-19272.92578125,-6284.52783203125,0,0,0,0,-7356.42822265625,-1645.3118896484375,Rest
1553895974762,-19222.611328125,-6235.19775390625,0,0,0,0,-7323.68310546875,-1621.1943359375,Rest
1553895974762,-19164.630859375,-6205.1123046875,0,0,0,0,-7220.68603515625,-1559.212890625,Rest
