Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553986482493,10912.478515625,9943.3740234375,0,0,0,0,6442.48779296875,17289.767578125,Rest
1553986482494,10898.5537109375,9952.4267578125,0,0,0,0,6487.90673828125,17952.65234375,Rest
1553986482494,10865.048828125,9876.0732421875,0,0,0,0,6511.5322265625,18559.970703125,Rest
1553986482495,10888.517578125,9868.8310546875,0,0,0,0,6471.47802734375,17694.51171875,Rest
1553986482495,10919.4521484375,9947.5537109375,0,0,0,0,6458.3798828125,17227.740234375,Rest
1553986482496,10905.482421875,9964.1171875,0,0,0,0,6486.67724609375,17842.97265625,Rest
1553986482497,10866.0546875,9886.82421875,0,0,0,0,6501.83154296875,18517.056640625,Rest
1553986482497,10881.41015625,9853.7880859375,0,0,0,0,6464.70556640625,17911.099609375,Rest
1553986482497,10918.5361328125,9926.0068359375,0,0,0,0,6439.828125,17163.92578125,Rest
1553986482498,10908.4775390625,9960.4736328125,0,0,0,0,6477.8037109375,17719.546875,Rest
1553986482526,10873.609375,9899.1181640625,0,0,0,0,6502.50244140625,18424.05078125,Rest
1553986482526,10873.609375,9899.1181640625,0,0,0,0,6502.50244140625,18424.05078125,Rest
1553986482526,10869.8544921875,9841.3388671875,0,0,0,0,6473.91455078125,18131.51171875,Rest
1553986482527,10869.8544921875,9841.3388671875,0,0,0,0,6473.91455078125,18131.51171875,Rest
1553986482527,10916.8818359375,9912.126953125,0,0,0,0,6439.29150390625,17165.513671875,Rest
1553986482527,10916.8818359375,9912.126953125,0,0,0,0,6439.29150390625,17165.513671875,Rest
1553986482527,10873.609375,9899.1181640625,0,0,0,0,6502.50244140625,18424.05078125,Rest
1553986482527,10910.7578125,9962.865234375,0,0,0,0,6470.740234375,17607.162109375,Rest
1553986482528,10910.7578125,9962.865234375,0,0,0,0,6470.740234375,17607.162109375,Rest
1553986482528,10877.3642578125,9911.5009765625,0,0,0,0,6489.69482421875,18298.2109375,Rest
1553986482528,10862.3662109375,9839.9970703125,0,0,0,0,6473.71337890625,18318.751953125,Rest
1553986482528,10869.8544921875,9841.3388671875,0,0,0,0,6473.91455078125,18131.51171875,Rest
1553986482529,10906.689453125,9893.552734375,0,0,0,0,6430.3505859375,17217.794921875,Rest
1553986482529,10916.8818359375,9912.126953125,0,0,0,0,6439.29150390625,17165.513671875,Rest
1553986482529,10877.3642578125,9911.5009765625,0,0,0,0,6489.69482421875,18298.2109375,Rest
1553986482530,10914.9375,9961.2333984375,0,0,0,0,6464.1689453125,17491.759765625,Rest
1553986482530,10862.3662109375,9839.9970703125,0,0,0,0,6473.71337890625,18318.751953125,Rest
1553986482530,10910.7578125,9962.865234375,0,0,0,0,6470.740234375,17607.162109375,Rest
1553986482531,10886.595703125,9931.4833984375,0,0,0,0,6493.49462890625,18175.72265625,Rest
1553986482531,10877.3642578125,9911.5009765625,0,0,0,0,6489.69482421875,18298.2109375,Rest
1553986482531,10865.115234375,9856.9404296875,0,0,0,0,6501.5634765625,18473.671875,Rest
1553986482532,10906.689453125,9893.552734375,0,0,0,0,6430.3505859375,17217.794921875,Rest
1553986482532,10862.3662109375,9839.9970703125,0,0,0,0,6473.71337890625,18318.751953125,Rest
1553986482533,10914.9375,9961.2333984375,0,0,0,0,6464.1689453125,17491.759765625,Rest
1553986482533,10906.689453125,9893.552734375,0,0,0,0,6430.3505859375,17217.794921875,Rest
1553986482533,10914.9375,9961.2333984375,0,0,0,0,6464.1689453125,17491.759765625,Rest
1553986482534,10886.595703125,9931.4833984375,0,0,0,0,6493.49462890625,18175.72265625,Rest
1553986482534,10886.595703125,9931.4833984375,0,0,0,0,6493.49462890625,18175.72265625,Rest
1553986482534,10865.115234375,9856.9404296875,0,0,0,0,6501.5634765625,18473.671875,Rest
1553986482534,10865.115234375,9856.9404296875,0,0,0,0,6501.5634765625,18473.671875,Rest
1553986482595,10899.0673828125,9957.27734375,0,0,0,0,6467.45458984375,17798.515625,Rest
1553986482596,10871.0830078125,9898.5146484375,0,0,0,0,6499.86474609375,18493.140625,Rest
1553986482598,10881.25390625,9865.12109375,0,0,0,0,6468.90771484375,17971.96484375,Rest
1553986482603,10918.916015625,9933.1591796875,0,0,0,0,6434.68701171875,17157.130859375,Rest
1553986482603,10916.94921875,9974.64453125,0,0,0,0,6474.5849609375,17698.513671875,Rest
1553986482604,10881.0078125,9913.3779296875,0,0,0,0,6503.48583984375,18399.59765625,Rest
1553986482606,10880.5830078125,9858.080078125,0,0,0,0,6492.84619140625,18199.4609375,Rest
1553986482608,10915.83203125,9914.9873046875,0,0,0,0,6451.31689453125,17189.294921875,Rest
1553986482609,10908.298828125,9965.189453125,0,0,0,0,6480.01611328125,17592.095703125,Rest
