Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553983811134,-22740.642578125,-15876.1083984375,0,0,0,0,-48742.08984375,-19976.580078125,Rest
1553983811134,-22740.91015625,-15877.0244140625,0,0,0,0,-48713.63671875,-19967.884765625,Rest
1553983811140,-22739.61328125,-15876.0185546875,0,0,0,0,-48732.96875,-19977.853515625,Rest
1553983811141,-22736.505859375,-15874.185546875,0,0,0,0,-48768.93359375,-19993.43359375,Rest
1553983811142,-22733.17578125,-15870.9228515625,0,0,0,0,-48753.109375,-19987.443359375,Rest
1553983811143,-22731.72265625,-15870.1845703125,0,0,0,0,-48719,-19977.7421875,Rest
1553983811145,-22732.23828125,-15870.3193359375,0,0,0,0,-48726.265625,-19981.83203125,Rest
1553983811146,-22736.126953125,-15874.923828125,0,0,0,0,-48765.0234375,-19996.607421875,Rest
1553983811146,-22736.103515625,-15874.9013671875,0,0,0,0,-48757.46875,-19989.72265625,Rest
1553983811147,-22735.9921875,-15873.91796875,0,0,0,0,-48722.01953125,-19976.669921875,Rest
1553983811162,-22734.673828125,-15871.2802734375,0,0,0,0,-48720.5859375,-19978.390625,Rest
1553983811163,-22732.259765625,-15868.2177734375,0,0,0,0,-48758.7421875,-19992.5390625,Rest
1553983811163,-22731.1875,-15864.91015625,0,0,0,0,-48758.875,-19987.8671875,Rest
1553983811164,-22734.875,-15867.48046875,0,0,0,0,-48726.33203125,-19976.2890625,Rest
1553983811167,-22737.466796875,-15872.4423828125,0,0,0,0,-48719.4921875,-19978.5703125,Rest
1553983811168,-22737.064453125,-15874.1416015625,0,0,0,0,-48757.78125,-19995.84765625,Rest
1553983811170,-22735.09765625,-15871.4365234375,0,0,0,0,-48768.3984375,-19997.568359375,Rest
1553983811170,-22729.80078125,-15864.9326171875,0,0,0,0,-48729.484375,-19977.810546875,Rest
1553983811171,-22731.634765625,-15866.98828125,0,0,0,0,-48710.9765625,-19973.02734375,Rest
1553983811171,-22731.388671875,-15865.6923828125,0,0,0,0,-48737.0390625,-19980.71484375,Rest
1553983811199,-22732.7734375,-15864.0830078125,0,0,0,0,-48752.171875,-19978.859375,Rest
1553983811200,-22736.619140625,-15865.6474609375,0,0,0,0,-48722.0859375,-19959.056640625,Rest
