Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Direction
1553187061933,-215.47080993652344,-11789.4267578125,0,0,0,0,1712.83642578125,29486.443359375,Left
1553187061937,-216.65545654296875,-11787.9072265625,0,0,0,0,1719.8548583984375,29517.82421875,Left
1553187061938,-202.95382690429688,-11802.681640625,0,0,0,0,1712.25537109375,29512.326171875,Left
1553187061938,-187.955810546875,-11795.2607421875,0,0,0,0,1699.9842529296875,29485.548828125,Left
1553187061938,-199.75753784179688,-11792.19921875,0,0,0,0,1710.44482421875,29478.73046875,Left
1553187061939,-201.61273193359375,-11768.6845703125,0,0,0,0,1725.3087158203125,29512.302734375,Left
1553187061939,-196.2259521484375,-11794.03125,0,0,0,0,1720.9501953125,29518.13671875,Left
1553187061939,-192.9178924560547,-11782.9453125,0,0,0,0,1702.107666015625,29489.05859375,Left
1553187061941,-217.5495147705078,-11820.25,0,0,0,0,1699.5595703125,29476.09375,Left
1553187061941,-202.149169921875,-11781.380859375,0,0,0,0,1713.84228515625,29508.681640625,Left
1553187061967,-191.80030822753906,-11797.8759765625,0,0,0,0,1723.5653076171875,29513.599609375,Left
1553187061967,-182.54669189453125,-11753.9326171875,0,0,0,0,1719.3631591796875,29500.033203125,Left
1553187061967,-201.2104034423828,-11794.232421875,0,0,0,0,1715.093994140625,29485.482421875,Left
1553187061967,-202.2162322998047,-11787.21484375,0,0,0,0,1717.9326171875,29491.271484375,Left
1553187061968,-202.88677978515625,-11808.4931640625,0,0,0,0,1720.3690185546875,29491.962890625,Left
1553187061968,-175.662353515625,-11747.0478515625,0,0,0,0,1724.7052001953125,29489.125,Left
1553187061969,-186.10061645507812,-11778.4970703125,0,0,0,0,1721.0618896484375,29493.103515625,Left
1553187061969,-200.47279357910156,-11786.3876953125,0,0,0,0,1720.2572021484375,29496.142578125,Left
1553187061970,-221.438720703125,-11824.630859375,0,0,0,0,1707.5167236328125,29491.583984375,Left
1553187061970,-201.97035217285156,-11773.8037109375,0,0,0,0,1703.85107421875,29487.470703125,Left
1553187062072,-191.7779541015625,-11789.78515625,0,0,0,0,1720.2125244140625,29498.333984375,Left
1553187062072,-190.03453063964844,-11788.1982421875,0,0,0,0,1720.592529296875,29499.919921875,Left
1553187062072,-179.10452270507812,-11745.3720703125,0,0,0,0,1721.1513671875,29494.935546875,Left
1553187062073,-192.8284912109375,-11784.822265625,0,0,0,0,1725.599365234375,29499.115234375,Left
1553187062073,-188.4475555419922,-11782.54296875,0,0,0,0,1724.9287109375,29507.54296875,Left
1553187062074,-189.5204315185547,-11796.6240234375,0,0,0,0,1730.784912109375,29502.9375,Left
1553187062074,-171.21435546875,-11738.0185546875,0,0,0,0,1729.779052734375,29496.658203125,Left
1553187062074,-180.0209503173828,-11773.9375,0,0,0,0,1732.9976806640625,29494.35546875,Left
1553187062075,-195.0189666748047,-11780.44140625,0,0,0,0,1733.4671630859375,29499.5625,Left
1553187062075,-202.2162322998047,-11805.1181640625,0,0,0,0,1732.5059814453125,29503.49609375,Left
1553187062176,-188.13462829589844,-11800.46875,0,0,0,0,1726.04638671875,29513.466796875,Left
1553187062176,-173.8295135498047,-11745.6396484375,0,0,0,0,1722.6265869140625,29501.642578125,Left
1553187062177,-194.21429443359375,-11788.3994140625,0,0,0,0,1718.4244384765625,29498.244140625,Left
1553187062177,-202.61856079101562,-11790.5673828125,0,0,0,0,1715.9210205078125,29504.837890625,Left
1553187062178,-193.83432006835938,-11809.56640625,0,0,0,0,1718.24560546875,29505.75390625,Left
1553187062179,-184.82656860351562,-11760.794921875,0,0,0,0,1713.507080078125,29497.998046875,Left
1553187062179,-198.17056274414062,-11792.421875,0,0,0,0,1706.9580078125,29490.466796875,Left
1553187062179,-197.3435516357422,-11789.44921875,0,0,0,0,1715.8763427734375,29504.279296875,Left
1553187062179,-199.7351837158203,-11812.494140625,0,0,0,0,1717.1055908203125,29518.25,Left
1553187062179,-180.55738830566406,-11764.818359375,0,0,0,0,1717.7314453125,29507.900390625,Left
1553187062210,-174.03067016601562,-11767.2314453125,0,0,0,0,1719.2066650390625,29499.138671875,Left
1553187062210,-191.3309326171875,-11786.0078125,0,0,0,0,1721.7100830078125,29505.8671875,Left
1553187062211,-195.5106964111328,-11806.4140625,0,0,0,0,1718.4691162109375,29514.427734375,Left
1553187062211,-194.77310180664062,-11785.3818359375,0,0,0,0,1711.1153564453125,29509.912109375,Left
1553187062211,-194.03549194335938,-11775.099609375,0,0,0,0,1706.1533203125,29497.349609375,Left
1553187062211,-192.8284912109375,-11789.2705078125,0,0,0,0,1719.4078369140625,29503.474609375,Left
1553187062211,-203.87025451660156,-11803.6201171875,0,0,0,0,1715.988037109375,29503.318359375,Left
1553187062211,-199.35519409179688,-11797.25,0,0,0,0,1715.5186767578125,29497.328125,Left
1553187062212,-189.07339477539062,-11763.72265625,0,0,0,0,1707.4273681640625,29490.599609375,Left
1553187062212,-210.6204833984375,-11805.990234375,0,0,0,0,1708.4779052734375,29494.310546875,Left
1553187062242,-206.39599609375,-11803.978515625,0,0,0,0,1709.796630859375,29503.251953125,Left
1553187062243,-188.35813903808594,-11799.3515625,0,0,0,0,1716.14453125,29511.3203125,Left
1553187062243,-174.2989044189453,-11749.015625,0,0,0,0,1716.591552734375,29509.107421875,Left
1553187062243,-188.4475555419922,-11788.578125,0,0,0,0,1722.9617919921875,29506.9609375,Left
1553187062244,-193.78961181640625,-11787.572265625,0,0,0,0,1724.23583984375,29514.11328125,Left
1553187062244,-198.6846466064453,-11810.1474609375,0,0,0,0,1725.0628662109375,29514.404296875,Left
1553187062244,-185.20654296875,-11755.9892578125,0,0,0,0,1718.1337890625,29501.0390625,Left
1553187062245,-198.1258544921875,-11794.03125,0,0,0,0,1714.1552734375,29497.060546875,Left
1553187062245,-202.75267028808594,-11792.7578125,0,0,0,0,1719.094970703125,29508.4140625,Left
1553187062245,-206.61952209472656,-11816.1826171875,0,0,0,0,1712.63525390625,29506.26953125,Left
1553187062314,-210.86634826660156,-11777.9384765625,0,0,0,0,1705.0133056640625,29497.060546875,Left
1553187062315,-202.6632537841797,-11794.03125,0,0,0,0,1708.947265625,29493.998046875,Left
1553187062315,-190.59332275390625,-11787.416015625,0,0,0,0,1718.9161376953125,29506.603515625,Left
1553187062316,-184.04425048828125,-11800.826171875,0,0,0,0,1721.6654052734375,29516.037109375,Left
1553187062316,-170.7226104736328,-11755.0947265625,0,0,0,0,1723.63232421875,29509.80078125,Left
1553187062316,-177.29403686523438,-11764.1474609375,0,0,0,0,1717.7091064453125,29504.056640625,Left
1553187062317,-186.9052734375,-11781.291015625,0,0,0,0,1727.387451171875,29503.98828125,Left
1553187062317,-186.3241424560547,-11795.23828125,0,0,0,0,1732.43896484375,29510.26953125,Left
1553187062317,-186.41354370117188,-11775.5693359375,0,0,0,0,1726.381591796875,29502.333984375,Left
1553187062317,-177.51754760742188,-11758.1123046875,0,0,0,0,1717.8656005859375,29495.25,Left
1553187062347,-186.5476531982422,-11785.158203125,0,0,0,0,1724.392333984375,29497.1484375,Left
1553187062347,-196.06948852539062,-11798.5244140625,0,0,0,0,1719.586669921875,29503.474609375,Left
1553187062348,-192.35910034179688,-11794.27734375,0,0,0,0,1719.094970703125,29505.59765625,Left
1553187062348,-183.30665588378906,-11754.3125,0,0,0,0,1712.3447265625,29500.255859375,Left
1553187062349,-205.8819122314453,-11796.2666015625,0,0,0,0,1718.804443359375,29507.498046875,Left
1553187062349,-203.89260864257812,-11798.1220703125,0,0,0,0,1721.7772216796875,29509.755859375,Left
1553187062350,-190.90625,-11802.48046875,0,0,0,0,1725.04052734375,29507.7890625,Left
1553187062350,-167.41456604003906,-11746.8916015625,0,0,0,0,1721.687744140625,29505.3515625,Left
1553187062350,-182.70315551757812,-11787.68359375,0,0,0,0,1723.297119140625,29512.4375,Left
1553187062351,-207.7818145751953,-11801.005859375,0,0,0,0,1716.099853515625,29507.408203125,Left
1553187062382,-202.03741455078125,-11818.0595703125,0,0,0,0,1715.2728271484375,29507.900390625,Left
1553187062383,-181.54086303710938,-11758.8720703125,0,0,0,0,1714.24462890625,29506,Left
1553187062383,-178.52337646484375,-11783.59375,0,0,0,0,1720.5478515625,29507.38671875,Left
1553187062383,-175.1035614013672,-11776.6201171875,0,0,0,0,1732.9530029296875,29519.880859375,Left
1553187062383,-188.84988403320312,-11807.21875,0,0,0,0,1723.386474609375,29520.796875,Left
1553187062384,-194.4378204345703,-11769.5341796875,0,0,0,0,1707.94140625,29500.14453125,Left
1553187062384,-193.09671020507812,-11786.6552734375,0,0,0,0,1707.3155517578125,29494.533203125,Left
1553187062384,-186.1229705810547,-11787.83984375,0,0,0,0,1721.6654052734375,29503.8984375,Left
1553187062384,-199.84693908691406,-11814.349609375,0,0,0,0,1715.183349609375,29507.6328125,Left
1553187062384,-198.37171936035156,-11781.2685546875,0,0,0,0,1715.7198486328125,29502.044921875,Left
1553187062417,-179.9091796875,-11771.970703125,0,0,0,0,1713.9093017578125,29498.400390625,Left
1553187062417,-174.7459259033203,-11782.2080078125,0,0,0,0,1722.0230712890625,29509.197265625,Left
1553187062418,-184.87127685546875,-11801.2509765625,0,0,0,0,1719.63134765625,29511.029296875,Left
1553187062418,-183.91014099121094,-11781.3134765625,0,0,0,0,1722.4029541015625,29506.15625,Left
1553187062418,-184.357177734375,-11763.431640625,0,0,0,0,1717.6644287109375,29503.921875,Left
1553187062419,-201.74684143066406,-11799.3515625,0,0,0,0,1719.1396484375,29501.75390625,Left
1553187062420,-194.08018493652344,-11800.7373046875,0,0,0,0,1719.05029296875,29505.77734375,Left
1553187062420,-181.76437377929688,-11792.6015625,0,0,0,0,1723.3194580078125,29513.220703125,Left
1553187062420,-168.97918701171875,-11748.4560546875,0,0,0,0,1716.6585693359375,29509.30859375,Left
1553187062420,-182.3008270263672,-11787.169921875,0,0,0,0,1721.1737060546875,29503.4296875,Left
1553187062451,-186.30178833007812,-11788.7119140625,0,0,0,0,1724.079345703125,29513.48828125,Left
1553187062452,-185.5418243408203,-11800.7373046875,0,0,0,0,1727.4544677734375,29518.025390625,Left
1553187062453,-175.77410888671875,-11753.0830078125,0,0,0,0,1719.184326171875,29507.900390625,Left
1553187062453,-185.78768920898438,-11792.3779296875,0,0,0,0,1723.02880859375,29508.458984375,Left
1553187062453,-195.64480590820312,-11791.751953125,0,0,0,0,1721.44189453125,29513.578125,Left
1553187062453,-206.57481384277344,-11821.0771484375,0,0,0,0,1713.9093017578125,29509.666015625,Left
1553187062454,-181.65261840820312,-11759.4091796875,0,0,0,0,1716.748046875,29511.07421875,Left
1553187062454,-181.96554565429688,-11780.84375,0,0,0,0,1721.9559326171875,29511.140625,Left
1553187062454,-171.7731475830078,-11770.8525390625,0,0,0,0,1734.2718505859375,29525.513671875,Left
1553187062454,-175.93057250976562,-11795.0146484375,0,0,0,0,1730.986083984375,29526.630859375,Left
1553187062486,-173.85186767578125,-11756.7265625,0,0,0,0,1720.9725341796875,29511.029296875,Left
1553187062487,-176.04232788085938,-11769.1318359375,0,0,0,0,1725.7333984375,29505.3515625,Left
1553187062487,-190.0792236328125,-11780.419921875,0,0,0,0,1735.2105712890625,29513.95703125,Left
1553187062488,-192.1132354736328,-11798.94921875,0,0,0,0,1730.9637451171875,29522.49609375,Left
1553187062488,-192.98495483398438,-11771.5009765625,0,0,0,0,1721.7772216796875,29512.951171875,Left
1553187062488,-197.2764892578125,-11774.5859375,0,0,0,0,1709.6624755859375,29502.982421875,Left
1553187062488,-192.4708709716797,-11787.482421875,0,0,0,0,1726.62744140625,29514.427734375,Left
1553187062489,-202.0821075439453,-11804.6708984375,0,0,0,0,1724.1688232421875,29519.5,Left
1553187062489,-198.751708984375,-11790.1875,0,0,0,0,1718.580810546875,29512.951171875,Left
1553187062489,-181.3173370361328,-11758.8056640625,0,0,0,0,1715.9210205078125,29506.873046875,Left
1553187062524,-195.89068603515625,-11795.529296875,0,0,0,0,1724.3028564453125,29506.380859375,Left
1553187062524,-193.8119659423828,-11796.6689453125,0,0,0,0,1724.7275390625,29514.986328125,Left
1553187062524,-195.33189392089844,-11799.3740234375,0,0,0,0,1724.548828125,29512.705078125,Left
1553187062525,-177.38343811035156,-11754.6923828125,0,0,0,0,1719.0279541015625,29500.009765625,Left
1553187062525,-188.0899200439453,-11793.3837890625,0,0,0,0,1721.397216796875,29501.59765625,Left
1553187062525,-195.17543029785156,-11792.4892578125,0,0,0,0,1725.4652099609375,29508.50390625,Left
1553187062526,-186.4805908203125,-11801.8994140625,0,0,0,0,1731.2989501953125,29512.884765625,Left
1553187062526,-174.50006103515625,-11746.9365234375,0,0,0,0,1724.794677734375,29504.94921875,Left
1553187062526,-190.5709686279297,-11789.181640625,0,0,0,0,1725.4205322265625,29504.189453125,Left
1553187062526,-199.01992797851562,-11789.3603515625,0,0,0,0,1727.677978515625,29505.5078125,Left
1553187062594,-197.85763549804688,-11812.7626953125,0,0,0,0,1730.583740234375,29507.990234375,Left
1553187062595,-179.23863220214844,-11754.87109375,0,0,0,0,1731.8577880859375,29505.330078125,Left
1553187062596,-192.98495483398438,-11783.548828125,0,0,0,0,1728.885009765625,29502.490234375,Left
1553187062596,-199.1763916015625,-11787.326171875,0,0,0,0,1729.3543701171875,29509.375,Left
1553187062596,-193.3425750732422,-11808.001953125,0,0,0,0,1727.3427734375,29514.26953125,Left
1553187062596,-174.63417053222656,-11759.498046875,0,0,0,0,1731.03076171875,29507.67578125,Left
1553187062596,-178.67984008789062,-11771.03125,0,0,0,0,1731.34375,29503.765625,Left
1553187062597,-186.055908203125,-11781.4033203125,0,0,0,0,1734.0035400390625,29512.52734375,Left
